iter	Passed	Remaining
171	14458	111634
172	14504	111256
173	14702	112046
174	14926	113018
175	15096	113568
176	15302	114378
177	15485	115010
178	15684	115747
179	15886	116503
180	15944	116190
181	16077	116432
182	16214	116692
183	16358	116995
184	16537	117548
185	16677	117816
186	16799	117956
187	16959	118355
188	16977	117761
189	17117	118019
190	17228	118071
191	17360	118266
192	17561	118929
193	17718	119279
194	17869	119590
195	18020	119889
196	18135	119954
197	18239	119941
198	18363	120057
199	18470	120057
200	18590	120142
201	18687	120079
202	18806	120158
203	18905	120105
204	19008	120074
205	19126	120147
206	19233	120136
207	19355	120224
208	19465	120239
209	19600	120402
210	19725	120501
211	19841	120544
212	19944	120511
213	20066	120588
214	20164	120520
215	20296	120650
216	20396	120590
217	20503	120575
218	20600	120496
219	20707	120482
220	20804	120401
221	20900	120317
222	21011	120321
223	21111	120258
224	21206	120169
225	21320	120186
226	21424	120144
227	21534	120140
228	21631	120059
229	21744	120067
230	21842	119992
231	21949	119967
232	22061	119963
233	22163	119911
234	22207	119541
235	22312	119506
236	22423	119496
237	22527	119452
238	22630	119403
239	22744	119410
240	22840	119321
241	22953	119318
242	23082	119400
243	23186	119354
244	23296	119336
245	23391	119239
246	23502	119225
247	23602	119153
248	23698	119064
249	23809	119045
250	23908	118972
251	24022	118968
252	24118	118877
253	24212	118775
254	24330	118789
255	24439	118758
256	24531	118649
257	24646	118648
258	24744	118562
259	24848	118507
260	24969	118532
261	25097	118588
262	25239	118713
263	25360	118733
264	25468	118691
265	25566	118606
266	25677	118579
267	25774	118486
268	25895	118502
269	26003	118462
270	26116	118437
271	26226	118404
272	26342	118395
273	26442	118313
274	26558	118304
275	26652	118196
276	26755	118132
277	26867	118101
278	26965	118010
279	27079	117989
280	27179	117906
281	27273	117798
282	27387	117777
283	27487	117694
284	27587	117611
285	27695	117560
286	27789	117449
287	27901	117419
288	28001	117335
289	28104	117263
290	28208	117196
291	28306	117102
292	28419	117073
293	28532	117040
294	28631	116953
295	28749	116939
296	28844	116835
297	28947	116762
298	29056	116710
299	29148	116595
300	29264	116572
301	29362	116477
302	29459	116379
303	29570	116337
304	29667	116237
305	29762	116130
306	29873	116090
307	29973	116000
308	30065	115884
309	30203	115942
310	30316	115905
311	30434	115885
312	30553	115870
313	30672	115851
314	30804	115882
315	30924	115867
316	31053	115888
317	31173	115872
318	31296	115864
319	31407	115813
320	31533	115818
321	31658	115817
322	31772	115778
323	31907	115811
324	32026	115788
325	32133	115721
326	32257	115712
327	32371	115669
328	32488	115634
329	32597	115573
330	32733	115605
331	32843	115547
332	32949	115472
333	33043	115356
334	33161	115322
335	33257	115212
336	33360	115128
337	33471	115072
338	33578	114997
339	33685	114928
340	33788	114839
341	33894	114766
342	33993	114664
343	34092	114567
344	34199	114492
345	34299	114396
346	34410	114336
347	34514	114255
348	34623	114187
349	34721	114085
350	34832	114025
351	34928	113913
352	35021	113794
353	35134	113739
354	35229	113627
355	35326	113521
356	35440	113468
357	35535	113355
358	35640	113275
359	35750	113210
360	35851	113114
361	35965	113063
362	36065	112966
363	36161	112855
364	36272	112791
365	36375	112703
366	36487	112644
367	36588	112550
368	36700	112489
369	36797	112380
370	36914	112334
371	37009	112222
372	37103	112106
373	37216	112048
374	37310	111932
375	37408	111826
376	37517	111755
377	37617	111658
378	37722	111574
379	37829	111496
380	37925	111386
381	38040	111334
382	38139	111231
383	38232	111112
384	38342	111044
385	38439	110935
386	38534	110824
387	38645	110757
388	38738	110637
389	38832	110524
390	38946	110465
391	39042	110355
392	39137	110241
393	39249	110177
394	39345	110068
395	39451	109986
396	39560	109913
397	39664	109824
398	39771	109745
399	39872	109649
